#,Country (or dependency),Population,Density
,,-2023,(P/Km²)
192,Guam,"172,952",320
193,Kiribati,"133,515",165
194,Grenada,"126,183",371
195,Tonga,"107,773",150
196,Seychelles,"107,660",234
197,Aruba,"106,277",590
198,St. Vincent & Grenadines,"103,698",266
199,U.S. Virgin Islands,"98,750",282
200,Antigua and Barbuda,"94,298",214
201,Isle of Man,"84,710",149
202,Andorra,"80,088",170
203,Dominica,"73,040",97
204,Cayman Islands,"69,310",289
205,Bermuda,"64,069","1,281"
206,Greenland,"56,643",0
207,Faeroe Islands,"53,270",38
208,Northern Mariana Islands,"49,796",108
209,Saint Kitts & Nevis,"47,755",184
210,Turks and Caicos,"46,062",48
211,Sint Maarten,"44,222","1,301"
212,American Samoa,"43,914",220
213,Marshall Islands,"41,996",233
214,Liechtenstein,"39,584",247
215,Monaco,"36,297","24,360"
216,San Marino,"33,642",561
217,Gibraltar,"32,688","3,269"
218,Saint Martin,"32,077",605
219,British Virgin Islands,"31,538",210
220,Caribbean Netherlands,"27,148",83
221,Palau,"18,058",39
222,Cook Islands,"17,044",71
223,Anguilla,"15,899",177
224,Nauru,"12,780",639
225,Wallis & Futuna,"11,502",82
226,Tuvalu,"11,396",380
227,Saint Barthelemy,"10,994",524
228,Saint Pierre & Miquelon,"5,840",25
229,Saint Helena,"5,314",14
230,Montserrat,"4,386",44
231,Falkland Islands,"3,791",0
232,Niue,"1,935",7
233,Tokelau,"1,893",189
234,Holy See,518,"1,295"
